Row ID;Row Name;AI Volume Rate;On Hit SpEffect 1;On Hit SpEffect 2;Foot Effect Height Type 0;Foot Effect Height Type 1;Foot Effect Direction Type 0;Foot Effect Direction Type 1;New SpType 0;New SpType 1;UnkB1;UnkB2;Hit Material Type 1;Hit Material Type 2;Hit Material Type 3;On Hit Effect 3;On Hit Effect 4;On Hit Effect 5;On Hit Effect 6;On Hit Effect 7;On Hit Effect 8;On Hit Effect 9;On Hit Effect 10;On Hit Effect 11;On Hit Effect 12;On Hit Effect 13;On Hit Effect 14;On Hit Effect 15;On Hit Effect 16;On Hit Effect 17;Unk1;Unk2;Unk3;Unk4;Unk5;Unk0
25;;1;4100;-1;True;False;False;False;True;False;False;False;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;65535;4003;4500;4520;4521;-1
26;;1;-1;-1;False;False;False;False;False;False;False;False;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;65535;4003;-1;-1;-1;-1
27;;1;4101;-1;True;False;False;False;True;False;False;False;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;65535;4010;4501;4510;4512;-1
28;;1;-1;-1;False;False;False;False;False;False;False;False;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;65535;-1;-1;-1;-1;-1
29;;1;-1;-1;False;False;False;False;False;False;False;True;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;65535;-1;-1;-1;-1;-1
30;;1;4200;-1;False;False;False;False;False;False;False;False;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;65535;-1;-1;-1;-1;-1
31;;1;-1;-1;False;False;False;False;False;False;False;False;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;65535;-1;-1;-1;-1;-1
32;;1;-1;-1;False;False;False;False;False;False;False;False;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;65535;-1;-1;-1;-1;-1
33;;1;-1;-1;False;False;False;False;False;False;False;False;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;65535;-1;-1;-1;-1;-1
34;;1;-1;-1;False;False;False;False;False;False;False;True;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;65535;-1;-1;-1;-1;-1
35;;1;-1;-1;False;False;False;False;False;False;False;False;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;65535;-1;-1;-1;-1;-1
36;;1.75;-1;-1;False;False;False;False;False;False;False;False;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;65535;-1;-1;-1;-1;-1
37;;1.75;-1;-1;True;False;False;False;True;False;False;False;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;65535;-1;-1;-1;-1;-1
38;;1;4100;-1;True;False;False;False;True;False;False;False;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;65535;-1;-1;-1;-1;-1
39;;1;4101;-1;True;False;False;False;True;False;False;False;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;65535;-1;-1;-1;-1;-1
40;;1;-1;-1;False;False;False;False;False;False;False;False;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;65535;-1;-1;-1;-1;-1
43;;1;-1;-1;False;False;False;False;False;False;False;False;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;65535;-1;-1;-1;-1;-1
44;Rain Dirt;1.75;-1;-1;False;False;False;False;False;False;False;False;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;65535;-1;-1;-1;-1;-1
45;;1;-1;-1;False;False;False;False;False;False;False;True;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;65535;-1;-1;-1;-1;-1
46;Scarlet Swamp;1;-1;-1;True;False;False;False;True;False;False;False;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;65535;4052;4500;4550;4551;-1
47;;1;4101;-1;True;False;False;False;True;False;False;False;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;65535;4050;4501;4550;4552;-1
48;;1;-1;-1;False;False;False;False;False;False;False;False;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;65535;-1;-1;-1;-1;-1
49;;1;-1;-1;True;False;False;False;True;False;False;False;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;65535;4054;4500;4550;4551;-1
